Vertices: 265214
Edges: 420045
Elapsed time for processing: 16.67007088661194 secs.
Number of superbubbles found: 13285.
<10000,10001>
<100001,100002>
<100007,100008>
<100014,100015>
<10002,10003>
<100036,100037>
<10004,10005>
<100041,100042>
<100043,100044>
<100054,100055>
<100058,100059>
<10006,10007>
<100066,100067>
<100073,100074>
<10008,10009>
<100087,100088>
<10010,10011>
<10012,10013>
<100120,100121>
<100130,100131>
<100136,100137>
<10014,10015>
<100140,100141>
<100148,100149>
<100151,100152>
<10016,10017>
<100160,100161>
<100162,100163>
<100170,100171>
<10018,10019>
<100195,100196>
<10020,10021>
<100207,100208>
<100210,100211>
<10022,10023>
<100220,100221>
<100228,100229>
<100230,100231>
<10024,10025>
<100240,100241>
<100242,100243>
<100253,100254>
<100259,100260>
<100261,100262>
<100265,100266>
<100271,100272>
<10028,10029>
<100284,100285>
<100288,100289>
<10030,10031>
<100317,100318>
<10032,10033>
<100320,100321>
<100324,100325>
<100328,100329>
<100330,100331>
<100334,100335>
<100337,100338>
<10034,10035>
<100340,100341>
<100347,100348>
<100352,100353>
<100358,100359>
<10036,10037>
<100370,100371>
<100372,100373>
<10038,10039>
<100385,100386>
<100397,100398>
<10040,10041>
<100403,100404>
<100407,100408>
<100412,100413>
<100418,100419>
<10042,10043>
<100420,100421>
<100427,100428>
<100430,100431>
<100437,100438>
<10044,10045>
<100443,100444>
<10046,10047>
<100461,100462>
<100463,100464>
<100465,100466>
<100471,100472>
<100474,100475>
<100478,100479>
<10048,10049>
<100484,100485>
<100490,100491>
<100499,100500>
<10050,10051>
<100519,100520>
<10052,10053>
<100538,100539>
<10054,10055>
<100542,100543>
<100547,100548>
<100550,100551>
<100554,100555>
<10056,10057>
<100566,100567>
<100576,100577>
<10058,10059>
<100582,100583>
<100584,100585>
<100586,100587>
<100589,100590>
<100596,100597>
<100598,100599>
<10060,10061>
<100610,100611>
<100615,100616>
<10062,10063>
<100627,100628>
<10064,10065>
<100642,100643>
<100650,100651>
<10066,10067>
<100670,100671>
<10068,10069>
<100682,100683>
<100684,100685>
<100697,100698>
<10070,10071>
<100700,100701>
<100703,100704>
<100708,100709>
<100712,100713>
<10072,10073>
<100734,100735>
<10074,10075>
<100743,100744>
<100753,100754>
<10076,10077>
<100763,100764>
<100771,100772>
<10078,10079>
<100782,100783>
<100791,100792>
<100799,100800>
<10080,10081>
<100801,100802>
<10082,10083>
<100835,100836>
<10084,10085>
<100841,100842>
