Vertices: 2394385
Edges: 5021410
Elapsed time for processing: 418.7485749721527 secs.
Number of superbubbles found: 4737.
<1000229,1621777>
<1000360,1000361>
<1000446,1000447>
<1000774,1345859>
<1000923,1000924>
<1001513,1025438>
<1001592,1001593>
<1002305,1002306>
<1002375,984772>
<1002989,1019696>
<1003175,1003176>
<1003976,1003977>
<1004369,1685675>
<1004392,1004393>
<1004613,180222>
<1004808,1029443>
<1005479,1965753>
<1005706,1005707>
<1006165,2199192>
<1006570,1006571>
<100685,201727>
<1006936,1006937>
<1007111,1007112>
<1008303,1008304>
<1008937,1008938>
<1009167,1009168>
<1011426,1011427>
<1011510,1036722>
<1011725,1011726>
<1012023,1012024>
<1013403,1092501>
<1013878,1083762>
<1014520,1014521>
<101612,810401>
<1016353,1016380>
<1017540,1017541>
<1017915,1017916>
<1018570,1018571>
<1018648,1018649>
<1018858,1018859>
<1018947,1018948>
<1019164,1019165>
<1019196,1019443>
<1019393,724967>
<1019787,1019792>
<1019990,1111543>
<1020297,1020298>
<1020418,1020419>
<1020781,1020782>
<1021027,1021028>
<1021194,1711434>
<1021992,1073739>
<1022033,1022034>
<1022746,1022747>
<1023356,1023357>
<1023423,1023468>
<1023462,1023463>
<1023541,1023542>
<1024098,2292490>
<1024234,1024235>
<1024276,1625604>
<1024717,1024718>
<1024718,1025068>
<1024894,1024895>
<1025055,1025056>
<1025357,1025358>
<1025687,1025688>
<1027228,1027229>
<1027299,1239132>
<1027758,1027759>
<1027998,1027999>
<1028078,1028079>
<1028135,1028136>
<1028201,1028202>
<1028345,1028346>
<1028589,1042270>
<1028765,1581163>
<102897,102898>
<1029054,1029055>
<102919,835595>
<1030763,1600715>
<103090,1171476>
<1031148,1031149>
<1031613,1181662>
<1031932,1031933>
<1032027,1032028>
<1032037,1032038>
<1032686,1032687>
<1032884,1032885>
<1033163,1048181>
<1033244,1033245>
<1033979,1033980>
<1034055,1058539>
<1034721,1034722>
<1035302,1035535>
<1035482,1035483>
<1035885,1491514>
<1035976,1035977>
<1036610,1615841>
<1036822,1036823>
<1037196,1770304>
<1037291,1037292>
<1037357,1037358>
<1038163,1038164>
<1038364,1038365>
<1038648,1038649>
<1039038,1039039>
<1039069,1555405>
<1039171,1039172>
<1039234,1045407>
<1039404,1666729>
<1040213,1598138>
<1040753,1040754>
<1040768,1290278>
<1040867,1164373>
<104111,118799>
<1041457,2283648>
<1041648,1041649>
<1041761,1689432>
<1042170,1042171>
<1042480,1042481>
<1042584,1042585>
<1043635,1043636>
<1043725,1193076>
<1043916,1101070>
<1044192,1519938>
<1044221,1044245>
<1044749,1407593>
<1044942,1044943>
<1044948,1044949>
<1045622,1049272>
<1045745,1383833>
<1046352,1046353>
<1046663,1193958>
<104676,1284173>
<1047256,1705526>
<1048168,1048169>
<1049229,1049310>
<1049237,1049238>
<1049300,1049301>
<1049546,297378>
<1050052,1050053>
<1050186,1180575>
<1050320,1050321>
<1050382,1050383>
<1050748,2317245>
<1050756,1050757>
<1050916,1050917>
<1051232,1054872>
<1051669,1051670>
<1052131,1052132>
<1052222,1200030>
<105251,105252>
<1052652,1052653>
<1053586,1053587>
<1053858,1334822>
<1053860,1053861>
<1054244,1054245>
<1054757,1054758>
<1054940,1054941>
<1054973,1054974>
<1055130,1055131>
<1055642,1055643>
<1055933,1910368>
<1056345,1056346>
<1056349,2145714>
<1057919,1057920>
<1057979,1066514>
<1057984,1057985>
<1058111,1058112>
<1058243,1058244>
