Vertices: 49795
Edges: 130993
Elapsed time for processing: 0.314378023147583 secs.
Number of superbubbles found: 325.
<10469,10470>
<10615,10616>
<10651,10652>
<10734,10735>
<10736,10737>
<10797,10798>
<10798,10799>
<11188,11190>
<11354,11355>
<11355,11356>
<11385,11386>
<11386,11387>
<11387,11388>
<11391,11394>
<11392,11393>
<12135,12136>
<12166,12167>
<12167,12168>
<12214,14232>
<13334,13336>
<13495,13496>
<13636,13637>
<13640,13641>
<13650,13652>
<13825,13827>
<13921,13922>
<13928,13929>
<13992,13993>
<14189,14190>
<14190,14191>
<14211,14212>
<14277,14278>
<14823,14824>
<15325,15326>
<16610,16611>
<16614,16615>
<16616,16617>
<16639,16640>
<16659,16660>
<18331,18332>
<18332,18333>
<18579,18580>
<21053,21054>
<21080,21082>
<21410,21411>
<21421,21422>
<21424,21425>
<23714,23715>
<24622,1122>
<24643,24644>
<24658,24659>
<24669,24670>
<24682,24684>
<24688,24689>
<24691,24692>
<24692,24705>
<24693,24695>
<24695,24696>
<24696,24699>
<24697,24698>
<24699,24701>
<24701,24704>
<24702,24703>
<24706,24708>
<24708,24709>
<24710,24716>
<24711,24715>
<24716,24718>
<24719,24720>
<24720,24721>
<24722,24724>
<24724,24726>
<24726,24728>
<24733,24734>
<24738,24739>
<24740,24741>
<24755,24756>
<24756,24758>
<24758,24759>
<24759,24760>
<24760,24761>
<24761,24762>
<24809,24810>
<24844,24845>
<24845,24850>
<24846,24847>
<24847,24849>
<24850,24852>
<24852,24853>
<24853,24854>
<25086,25087>
<2515,2516>
<25374,25376>
<27153,17843>
<27195,27196>
<2818,2820>
<31888,46044>
<3486,3487>
<35,36>
<35541,35542>
<35542,35543>
<35587,38684>
<35688,35690>
<36407,36409>
<36413,36414>
<36424,36425>
<36425,36426>
<36486,36487>
<36938,36939>
<36972,36974>
<37279,37280>
<37280,37281>
<37304,37305>
<37357,37359>
<37359,37360>
<37360,37361>
<37361,37362>
<37362,37363>
<37444,37445>
<37456,37458>
<37460,37462>
<37465,37467>
<37468,37470>
<3749,3751>
<37533,37535>
<37535,37536>
<37622,37623>
<37624,37625>
<37625,37628>
<37626,37627>
<37642,37643>
<3783,3784>
<3784,3785>
<3785,3786>
<3786,3787>
<3787,3789>
<37907,37908>
<37912,37913>
<37913,37915>
<37915,37916>
<37916,37917>
<3792,3793>
<37920,37922>
<3793,3795>
<37932,37934>
<37934,37935>
<3795,3796>
<3798,3800>
<3804,3806>
<38219,38220>
<38493,38495>
<38498,38499>
<38500,38501>
<38501,38502>
<38502,38504>
<38504,38506>
<38506,38507>
<38507,38508>
<38610,38611>
<38683,0>
<3960,3961>
<3975,3977>
<39862,39864>
<3992,3994>
<3994,3995>
<3995,3996>
<3997,3998>
<3998,3999>
<4000,4001>
<4001,4003>
<4003,4004>
<4004,4005>
<4005,4006>
<40536,40537>
<4065,4076>
<4066,4068>
<4068,4075>
<4076,4078>
<4078,4079>
<4079,4080>
<4080,4081>
<40945,40947>
<41180,41182>
<41386,41387>
<41514,41515>
<4216,4217>
<42571,42572>
<4265,4266>
<43065,35588>
<44181,44182>
<44182,44183>
<44628,44629>
<44698,44699>
<45164,45165>
<45633,45634>
<45634,45635>
<45861,45864>
<45862,45863>
<45918,45920>
<4614,4615>
<46396,46398>
<46810,46811>
<4689,4690>
<47347,47348>
<47602,47604>
<49741,49742>
<5195,5197>
<5366,5368>
<5374,5375>
<5375,5376>
<5376,5377>
<5404,5406>
<5457,5458>
<5573,5574>
<5786,5787>
<5787,5788>
<5789,5791>
<5791,5796>
<5792,5793>
<5793,5795>
<5798,5799>
<5799,5800>
<5800,5801>
<5801,5803>
<5803,5804>
<5804,5806>
<5806,5807>
<5808,5809>
<5835,5836>
<5874,5879>
<5875,5876>
<5879,5885>
<5880,5882>
<5882,5884>
<5890,5892>
<5892,5893>
<5900,5901>
<5902,5903>
<5903,5904>
<5904,5905>
<5982,5983>
<5988,5990>
<5990,5992>
<5993,5994>
<5995,5996>
<5996,5997>
<5997,5998>
<6000,6001>
<6005,6007>
<6010,6012>
<6013,6016>
<6014,6015>
<6016,6018>
<6018,6019>
<6236,6237>
<6244,6245>
<6245,6246>
<6250,6251>
<6318,6319>
<6367,6369>
<6376,6377>
<6392,6394>
<6406,6408>
<6409,6410>
<6410,6414>
<6411,6413>
<6414,6416>
<6416,6422>
<6417,6419>
<6419,6421>
<6437,6438>
<6880,6881>
<6881,6882>
<6883,6885>
<6887,6888>
<6889,6890>
<7144,7145>
<7208,7209>
<7209,7210>
<7353,7355>
<7357,7361>
<7358,7360>
<7364,7366>
<7366,7368>
<7368,7369>
<7369,7370>
<7377,7378>
<7384,7386>
<7403,7404>
<7404,7405>
<7441,7443>
<7444,7445>
<7529,7534>
<7530,7531>
<7531,7532>
<7532,7533>
<7534,7535>
<7536,7537>
<7537,7541>
<7538,7539>
<7539,7540>
<8210,8211>
<8514,8515>
<9140,9141>
<9168,9169>
<9173,9174>
<9174,9175>
<9196,9197>
<9209,9210>
<9210,9212>
<9212,9213>
<9220,9222>
<9222,9223>
<9224,9226>
<9226,9228>
<9238,9239>
<9543,9544>
<9682,9683>
<9782,9783>
<9784,9785>
<9848,9849>
<9855,9856>
<9856,9857>
<9857,9858>
<9858,9859>
